site_name;count;start_datetime;end_datetime;longitude;latitude
Lyon 7_Pont Raymond Barre;17;2023-04-04 06:00:00+02:00;2023-04-04 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-04-04 05:00:00+02:00;2023-04-04 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-04-04 04:00:00+02:00;2023-04-04 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-04 03:00:00+02:00;2023-04-04 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-04 02:00:00+02:00;2023-04-04 03:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-04 01:00:00+02:00;2023-04-04 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-04-04 00:00:00+02:00;2023-04-04 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-03 23:00:00+02:00;2023-04-04 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;17;2023-04-03 22:00:00+02:00;2023-04-03 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;15;2023-04-03 21:00:00+02:00;2023-04-03 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;58;2023-04-03 20:00:00+02:00;2023-04-03 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;162;2023-04-03 19:00:00+02:00;2023-04-03 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;309;2023-04-03 18:00:00+02:00;2023-04-03 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;291;2023-04-03 17:00:00+02:00;2023-04-03 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;139;2023-04-03 16:00:00+02:00;2023-04-03 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;57;2023-04-03 15:00:00+02:00;2023-04-03 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;42;2023-04-03 14:00:00+02:00;2023-04-03 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;37;2023-04-03 13:00:00+02:00;2023-04-03 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;66;2023-04-03 12:00:00+02:00;2023-04-03 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;29;2023-04-03 11:00:00+02:00;2023-04-03 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;27;2023-04-03 10:00:00+02:00;2023-04-03 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;87;2023-04-03 09:00:00+02:00;2023-04-03 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;233;2023-04-03 08:00:00+02:00;2023-04-03 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;99;2023-04-03 07:00:00+02:00;2023-04-03 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;20;2023-04-03 06:00:00+02:00;2023-04-03 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-03 05:00:00+02:00;2023-04-03 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-04-03 04:00:00+02:00;2023-04-03 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-03 03:00:00+02:00;2023-04-03 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-04-03 02:00:00+02:00;2023-04-03 03:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-03 00:00:00+02:00;2023-04-03 01:00:00+02:00;4.821243;45.73200204
