Adresse;count;start_datetime;end_datetime;longitude;latitude
Bas Montée des Forts;4.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;5.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;4.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;5.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;4.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;7.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;6.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.832572;45.793637
Bas Montée des Forts;0.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.832572;45.793637
