adresse,commune,lat_t,lon_t
trottoir angle zola et Boulevard Laurent Gérin (Vénissieux),Venissieux,,
Rue Paul Verlaine (Villeurbanne),Villeurbanne,,
Esplanade Roger Long (Grigny),Grigny,,
Chemin des Ferratières (Charly),Charly,,
2 Chemin des Iles (Rillieux-la-Pape),Rillieux la Pape,,
Oreille du trottoir angle Rue de la République et Rue Louis Pergaud (Chassieu),Chassieu,,
12 Rue Joannès Carret (Lyon 9e Arrondissement),Lyon 9ème,,
angles Rues Docteur Bouchut et Rue Garibaldi (Lyon 3e Arrondissement) PI 345,Lyon 3ème,,
Rue de l'église (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
268 Rue Duguesclin (Lyon 3ème Arrondissement),Lyon 3ème,,
au niveau du n°13 Rue de la Soie (Villeurbanne),Villeurbanne,,
"Place Bénédict Tessier, côté est (Lyon 5e Arrondissement)",Lyon 5ème,,
11 Rue de l'Oratoire (Caluire-et-Cuire),Caluire et Cuire,,
1-9 Rue Sigismond Brissy (Bron),Bron,,
Rue Léon Blum (Villeurbanne),Villeurbanne,,
Rue Saint Lazare (Lyon 7e Arrondissement),Lyon 7ème,,
"Chemin du Pelleru + traversé Rue François Peissel (Caluire-et-Cuire)  "" HTA BT""",Caluire et Cuire,,
34 Rue Nationale (Jonage),Jonage,,
18 Rue de Combemore (Irigny),Irigny,,
Du 7 au 9 Esplanade Agnès Varda (Villeurbanne),Villeurbanne,,
Raccordement ilot B ZAC Grattes Ciel - Traversée Rue Francis de Pressensé au niveau du 106 (Villeurbanne),Villeurbanne,,
"Avenue Valioud, au droit de l'église (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
15 Chemin de Roty (Lissieu),Lissieu,,
Rue de l'Effort (Lyon 7e Arrondissement),Lyon 7ème,,
à côté  67 Avenue de Verdun (Dardilly),Dardilly,,
145 Rue Charles Laroche (Fontaines-Saint-Martin),Fontaines Saint Martin,,
Rue Magneval angle Montée Saint Sébastien (Lyon 1er Arrondissement),Lyon 1er,,
10 Allée du Vallon (Dardilly),Dardilly,,
Avenue de Verdun (Dardilly),Dardilly,,
"Avenue Paul Marcellin, du 124 au Boulevard des Droits de l'Homme.  entre le giratoire et l'avenue Hénaff, puis l'avenue Grandclément du 109 a l'avenue Paul Marcellin, et du 31 Avenue Henaff, jusqu'a la rue Pierre Mendes France sur 30m après le rond point (Vaulx en Velin)",Vaulx en Velin,,
13B Rue des Razes (Feyzin),Feyzin,,
17 Rue Louis Reverchon (Couzon-au-Mont-d'Or),Couzon Au Mont d'Or,,
Au niveau du carrefour Rue Romain Rolland / Avenue Joliot Curie sur 175m à l'Est pour rejoindre le Boulevard des Droits de l'Homme (Vaulx-en-Velin),Vaulx en Velin,,
Du 30 Rue Louis Galvani et rue Deauville à la rue Pierre Voyant (Villeurbanne),Villeurbanne,,
Rue Magneval (Lyon 1er Arrondissement),Lyon 1er,,
Avenue Maréchal de Saxe (Lyon 6e Arrondissement),Lyon 6ème,,
12 Rue Georges Clémenceau (Vénissieux),Venissieux,,
De l'angle Rue Emile Zola et Rue Marino Simonetti au 98 Rue Marino Simonetti (Décines-Charpieu) Restructuration CPI HTA en TOP ,Decines Charpieu,,
"Au droit du n°43, Rue des Aqueducs (LYON 5)",Lyon 5ème,,
Face au 21 jusqu'en Face au 12A Rue Raoul Durand (Villeurbanne),Villeurbanne,,
65 Rue de Margnolles (Caluire-et-Cuire),Caluire et Cuire,,
Rue Fleury Jay à environ 10 mètres au Nord de l'angle avec Rue Caraca (Grigny),Grigny,,
du 2 au 6 Rue Docteur Lamaze (Vénissieux) Du 2 au 17 Rue Diderot (Vénissieux) du 1 au 15 Rue Pierre Corneille (Vénissieux),Venissieux,,
Rue Branly (Villeurbanne),Villeurbanne,,
Rue de l'Abondance (Lyon 3e Arrondissement),Lyon 3ème,,
18 Rue de l'Industrie (Saint-Priest),Saint Priest,,
Avenue Bataillon Carmagnole Liberté + croisement Allée du textile (Vaulx-en-Velin),Vaulx en Velin,,
"Allée du Textile, et intersection Avenue Bataillon Carmagnole Liberté (Vaulx-en-Velin)",Vaulx en Velin,,
Avenue Ben Gourion (Lyon 9e Arrondissement),Lyon 9ème,,
Chemin de la Vallée (Sathonay Camp),Sathonay Camp,,
"Du 1 Rue Guilloux, au 3 Rue Guilloux (Saint-Genis-Laval)",Saint Genis Laval,,
Rue Gustave Noblemaire (Vénissieux),Venissieux,,
Cours Rouget de Lisle (Rillieux-la-Pape) Impasse françois vallet,Rillieux la Pape,,
Du 33 au 37 Rue Claude Boyer (Lyon 7ème Arrondissement),Lyon 7ème,,
Rue Jean-Baptiste Fayolle (Craponne),Craponne,,
fouille HTA au 28 Route de Genas (Chassieu),Chassieu,,
En face du 8 Rue Louis Pergaud (Chassieu),Chassieu,,
Rue Jean-Louis Renardon et Rue du 8 Mai 1945 (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
Rue de l'Abondance et Rue Garibaldi	(Lyon 3e Arrondissement),Lyon 3ème,,
Place du Bassin de la rue Honoré Pététin au quai de la Navigation (Givors),Givors,,
301 Route de Vienne (Vénissieux),Venissieux,,
Face au 266 Route de Genas (Bron),Bron,,
1A Impasse des Tilleuls (Villeurbanne),Villeurbanne,,
Rue Dominique Perfetti entre le Boulevard de la Croix-Rousse et la Rue Maisiat (Lyon 1er Arrondissement),Lyon 1er,,
Route de Paris de la limite communale Charbonnières/Dardilly jusqu'au rond point Charles Nithard à Tassin. Charbonnières-les-Bains.,"Charbonnieres les Bains, Tassin la Demi Lune, Charbonnieres les Bains, Tassin la Demi Lune",,
Montée Saint Barthélémy (Lyon 5e Arrondissement),Lyon 5ème,,
"-Du 197 Avenue Berthelot en passant par le carrefour Avenue de l'Europe / Boulevard des Etats-Unis en traversant la Rue Paul Cazeneuve jusqu'au carrefour Avenue Viviani / Boulevard Irène Joliot Curie, -Carrefour : Boulevard des Tchécoslovaques / Avenue Berthelot, -Carrefour : Rue de la Solidarité / Avenue Berthelot, -Du 13 au 30 Rue Audibert et Lavirotte, -Carrefour : Rue Villon / Boulevard des Etats-Unis, -Carrefour : Rue Professeur Beauvisage / Boulevard des Etats-Unis (Lyon 7ème Arrondissement, Lyon 8e Arrondissement, Vénissieux)",Venissieux,,
Avenue Georges Charpak (Givors),Givors,,
"Rue Jules Verne, entre Rue du Mont Blanc et Route de Toussieu (Saint-Priest)",Saint Priest,,
Chemin de Meyzieu et Promenade du Biézin (Chassieu),Chassieu,,
Du 46 au 38 Avenue Paul Marcellin (Vaulx-en-Velin),Vaulx en Velin,,
22b Rue de Saint-Cyr,Lyon 9ème,,
"Du 2 Allée des Lièvres (Francheville), au 16 Chemin des Hermières (Francheville)",Francheville,,
