adresse,commune,lat_t,lon_t
"Quai Saint Vincent : Quai bas entre les n°30 et 36 + trottoir haut + traversée de chaussée au niveau du n°36, Lyon 1er Arrondissement",Lyon 1er,,
"Du 86 Boulevard de l'Europe, au 130 Boulevard de l'Europe (Pierre-Bénite) Coordonnées GPS de l'emprise (format WGS84) : 4.823777981587794 45.69912330218958",Pierre Benite,,
Place Xavier RICARD,Sainte Foy les Lyon,,
"Avenue de l'Europe, Rue et Place Jules Michelet, Avenue du Mont Blanc, Avenue des Combattants en Afrique du Nord 1952-1962, Chemin du Lanchet, Rue Renoir, Square des Combattants d'Indochine, Rue Boileau, Impasse des Manges, Impasse du Bois, Rue Ronsard, Rue et place Alexandre Dumas, Rue et Place Le Nôtre, Place Nicolas Boileau - (Rillieux-la-Pape)",Rillieux la Pape,,
Du 2 au 20 Boulevard de la Croix-Rousse (Lyon 1er Arrondissement),Lyon 1er,,
Chemin du Génie (Vénissieux),Venissieux,,
-Traverser de chaussé devant le 40 Avenue Général Frère (Lyon 8e Arrondissement)  -Sortie de poste au 44 Avenue Général Frère (Lyon 8e Arrondissement) -Traverser de chaussée devant le 52 Avenue Général Frère (Lyon 8e Arrondissement),Lyon 8ème,,
39 Rue Henri Barbusse (PIERRE-BENITE),Pierre Benite,,
Toute la Rue Jean Macé (Meyzieu),Meyzieu,,
Angle 27b chemin de la Brocardière et du chemin de la Bruyère (Dardilly),Dardilly,,
"Entre intersection Avenue Edmond Locard et Avenue du Rhone, jusqu'au niveau de la Rue Normand, travaux concernent seulement l'avenue Edmond Locard (Oullins)",Oullins,,
Face au 74 jusqu'au 72 Rue Béchevelin (Lyon 7ème Arrondissement),Lyon 7ème,,
"Rue Pierre Baratin (Villeurbanne), angle Rue du 4 août 1789",Villeurbanne,,
6C Rue Auguste Delage (Chassieu),Chassieu,,
Du 19 Impasse des Cerisiers à la Rue du Buisson (Fleurieu-sur-Saône) ,Fleurieu Sur Saone,,
au 1 Boulevard de Lattre de Tassigny (Rillieux-la-Pape),Rillieux la Pape,,
6 Avenue Berliet (Vénissieux),Venissieux,,
Place Grandclément à Villeurbanne (place entière),Villeurbanne,,
"Route de Genas, de la Rue Monge à Rue Christian Lacouture (Bron, Villeurbanne)",Bron,,
"Rue Carnot / Rue Charles Plasse : Entre l'Avenue Charles de Gaulle et Allée Picard (Saint-Fons, Vénissieux)","Saint Fons, Venissieux, Saint Fons, Venissieux, Saint Fons",,
11 bis et 13 Rue de la République (Chassieu),Chassieu,,
Angle 4 Place Jules Grandclément (Villeurbanne),Villeurbanne,,
102 Rue Ampère (Pierre-Bénite),Pierre Benite,,
12 Rue Major Martin (Lyon 1er Arrondissement),Lyon 1er,,
"Nord du 2 Rue Jean-Marie Michel, angle Place des Anciens Combattants (Champagne-au-Mont-d'Or)",Champagne au Mont d'Or,,
"Chemin du Vieux Crépieux, à proximité Route de Strasbourg (Rillieux-la-Pape)",Caluire et Cuire,,
"Place de Liberté dans son intégralité (Bron), Square Jean Ranneaud (Bron), Square André Lacroix (Bron)  ",Bron,,
Allée du Textile (Vaulx-en-Velin),Vaulx en Velin,,
Face au 251 Rue du 11 Novembre 1918 (Craponne),Craponne,,
au 32 Cours Bayard (Lyon 2ème Arrondissement),Lyon 2ème,,
25 Rue Hippolyte Kahn (Villeurbanne),Villeurbanne,,
159 Rue Pierre Valdo (Lyon 5e Arrondissement),Lyon 5ème,,
9b Avenue Auguste Wissel (Neuville-sur-Saône),Neuville sur Saone,,
à côté  4 jusqu'au 5 Rue d'Ypres (Lyon 4ème Arrondissement),Lyon 4ème,,
Rue Descartes (Saint-Fons) point GPS : 45.696833836773976 4.852626851563078 (Saint-Fons),Saint Fons,,
"De l'angle Chemin des Pêcheurs / Route de Genève, jusqu'à l'angle du Chemin des Pêcheurs / Chemin des Martyrs (Rillieux-la-Pape)",Rillieux la Pape,,
Chemin des Grandes Bruyères (Charbonnières-les-Bains),Charbonnieres les Bains,,
Avenue Pierre Mendès France (Saint-Priest),Saint Priest,,
14 à 20 Avenue Francis de Pressensé (Vénissieux),Venissieux,,
56 à 58 Avenue Francis de Pressensé (Vénissieux),Venissieux,,
"Du 4 Rue Paul-Michel Perret (Lyon 6ème Arrondissement), au 6 Rue Paul-Michel Perret (Lyon 6ème Arrondissement) Tronçon de la Rue Paul Michel Perret entre Duquesne et Montgolfier",Lyon 6ème,,
"Du 86 Rue de la Croix Blanche (Montanay), au 103 Rue du Moriot (Montanay)",Montanay,,
"-Rue Garibaldi : Entre le carrefour Grande Rue de la Guillotière et le carrefour Avenue Berthelot / Rue Duvivier, -Route de Vienne : Entre le carrefour Rue Duvivier et le Boulevard Laurent Bonnevay, -Avenue Jaurès : Entre le boulevard Laurent Bonnevay et le carrefour Rue de la République (Saint-Fons, Lyon 8e Arrondissement, Lyon 7e Arrondissement, Vénissieux)",Venissieux,,
"Rue de la Commune de Paris, Impasse du Nord, Les Maisons du Parc et Boulevard Emile zola (Oullins)",Oullins,,
Rue Emile Zola + raccordement sur la Rue Yves Farge (Mions) ,Mions,,
"2 endroits ; 1 ère endroit : Angle Rue de Bourgogne (Lyon 9ème Arrondissement) et Rue Tissot (Lyon 9ème Arrondissement), 2 ème endroit : Angle Laure Diébold (Lyon 9ème Arrondissement) et Rue Tissot (Lyon 9ème Arrondissement)",Lyon 9ème,,
"Du 1 Quai Jean-Jacques Rousseau, au 40 Quai Jean-Jacques Rousseau (La Mulatière)",La Mulatiere,,
6 Rue Auguste Delage (Chassieu),Chassieu,,
"Rue de Madrid, Angle Rue des Frères Lumière / Rue de Madrid et Angle Rue du Bottet / Rue de Madrid (Rillieux-la-Pape)  ",Rillieux la Pape,,
au 35 Rue du Pont (Vernaison),Vernaison,,
Boulevard Niels Bohr (Villeurbanne),Villeurbanne,,
101 Rue Commandant Charcot (Sainte-Foy-lès-Lyon),Lyon 5ème,,
27 Rue Paul Montrochet (Lyon 2ème Arrondissement),Lyon 2ème,,
cours Albert Thomas / Rue Rossan (Lyon 3e Arrondissement) PI 1659,Lyon 8ème,,
"Du 93 Rue Crillon (Lyon 6ème Arrondissement), au 95 Rue Crillon (Lyon 6ème Arrondissement),   Du 98 Rue Tronchet (Lyon 6ème Arrondissement), au 104 Rue Tronchet (Lyon 6ème Arrondissement), Du 14 Rue Masséna (Lyon 6ème Arrondissement), au 30 Rue Masséna (Lyon 6ème Arrondissement)",Lyon 6ème,,
230 Rue André Philip (Lyon 3ème Arrondissement),Lyon 3ème,,
à côté  3 Rue Etienne Gagnaire (Villeurbanne) à proximité Rue Gabriel Péri (Villeurbanne),Villeurbanne,,
à côté  2 Rue des Charmettes (Villeurbanne) à proximité Rue Gabriel Péri (Villeurbanne),Villeurbanne,,
5 et 7 Rue du Château (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,,
3 Rue Michel Felizat (Lyon 7ème Arrondissement),Lyon 7ème,,
"ZAC 2 Lyon Confluence, du cours Charlemagne au quai Perrache et de la rue Casimir Périer au pont Pasteur (Lyon 2ème Arrondissement)",Lyon 2ème,,
"Emprise des travaux, Rue Michel Servet, Rue Anatole France, Cours Émile Zola et Rue Racine (Villeurbanne)",Villeurbanne,,
"à côté 6 Rue de la Bigue, jusqu'en Face au 2 Rue du Stade (Fleurieu-sur-Saône)",Fleurieu Sur Saone,,
2 Chemin de Vassieux (Caluire-et-Cuire),Caluire et Cuire,,
Avenue Jean Christophe (Neuville-sur-Saône),Neuville sur Saone,,
55 Avenue Galline (Villeurbanne),Villeurbanne,,
Chemin de Grange Blanche (Corbas),Corbas,,
Boulevard Yves Farge de la rue Parmentier (Vénissieux - St Fons) au 69 Route de Lyon (Feyzin) et Avenue Maurice Thorez du boulevard Lénine  au boulevard Yves Farge (Vénissieux),"Saint Fons, Venissieux, Saint Fons, Venissieux, Saint Fons, Venissieux, Saint Fons, Venissieux, Saint Fons, Venissieux, Saint Fons",,
Face au 6 jusque Face au 8 Avenue Auguste Wissel (Neuville-sur-Saône),Neuville sur Saone,,
"En face du 100 Route de Genève, jusqu'à l'angle sud de la Route de Genève/Chemin des Pêcheurs (Rillieux la Pape)",Rillieux la Pape,,
"Route de Genas de l'avenue Général Leclerc à la rue du Dauphiné, rue Frédéric Mistral de la route de Genas à la Place des Maisons Neuves et avenue Félix Faure de la Place des Maisons Neuves à la rue André Philip (Lyon 3ème Arrondissement)",Lyon 3ème,,
24 Rue Royet (Caluire-et-Cuire),Caluire et Cuire,,
120 Rue Montesquieu (Lyon 7ème Arrondissement),Lyon 7ème,,
Rue Montesquieu (Lyon 7e Arrondissement),Lyon 7ème,,
24 Rue de Montribloud(Tassin-la-Demi-Lune),Lyon 9ème,,
1 Avenue de Champlevert (Grigny),Grigny,,
65 Rue Pierre Voyant (Villeurbanne),Villeurbanne,,
"Du 101 Rue Voltaire, au 108 Rue Voltaire (Pierre-Bénite)",Pierre Benite,,
Du 20 au 22 Quai de Charézieux (Saint-Romain-au-Mont-d'Or) ,Saint Romain Au Mont d'Or,,
carrefour Rue de Reims et Rue de l'Economie (Bron),Bron,,
pont juin et contre allée,Lyon 5ème,,
à proximité du 108 Avenue Félix Faure (Lyon 3e Arrondissement) PI 1176,Lyon 3ème,,
- Rue Lalande (De la Rue Fournet à la Rue Viabert) Lyon 6e Arrondissement - Rue Viabert (De la Rue Lalande à l'Avenue de Thiers) Lyon 6e Arrondissement - Avenue de Thiers (De la Rue Viabert au Cours Lafayette) Lyon 6e Arrondissement,Lyon 6ème,,
"Place de la Liberté, Champagne-au-Mont-d'Or",Champagne au Mont d'Or,,
"-Boulevard Ambroise Croizat : Entre la Gare de Vénissieux et le carrefour avec la Rue des Combats du 24 Août 1944, -Rue des Combats du 24 Août 1944 : Du carrefour Rue des Combats du 24 Août 1944 / Boulevard Ambroise Croizat sur 600m au Sud-Est (Vénissieux)",Venissieux,,
Du 52  au 58 Avenue de Verdun (Dardilly) ,Dardilly,,
 Entre le 2 ou 3 Chemin Neuf (Dardilly),Dardilly,,
86 Rue Saint Pierre de Vaise (Lyon 9ème Arrondissement),Lyon 9ème,,
au 18 Rue François Génin (Lyon 5ème Arrondissement),Lyon 5ème,,
8 Place des Palabres (Saint-Fons),Saint Fons,,
Est du 1 Place des Palabres (Saint-Fons),Saint Fons,,
2 à 3 Place des Palabres (Saint-Fons),Saint Fons,,
"Rue du Rhône, sur le Pont de Vernaison (Vernaison )",Vernaison,,
Rue Pierre Valdo de la rue Mère Elisabeth Rivet au 68 Rue Pierre Valdo (Lyon 5ème Arrondissement),Lyon 5ème,,
52 Avenue de Verdun (Dardilly),Dardilly,,
15 Quai Général Sarrail (Lyon 6e Arrondissement),Lyon 6ème,,
55 Rue Joseph et Marie-Louise Liauthaud (Givors),Givors,,
72 Rue Béchevelin (Lyon 7e Arrondissement),Lyon 7ème,,
Place Gabriel Péri ( en face du 14) (Lyon 7e Arrondissement),Lyon 7ème,,
à côté  70 Avenue Leclerc (Lyon 7ème Arrondissement) à proximité Avenue du Pont Pasteur (Lyon 7ème Arrondissement),Lyon 7ème,,
317 Avenue Jean Jaurès (Lyon 7ème Arrondissement),Lyon 7ème,,
Place Général André et du 8 Rue Jules Valensaut au 105 Avenue Paul Santy (Lyon 8ème Arrondissement),Lyon 8ème,,
92 Rue de Surville (Lyon 7e Arrondissement),Lyon 7ème,,
Rue Jean-Pierre Chevrot (Lyon 7e Arrondissement) Coordonnées GPS de l'emprise (format WGS84) : 4.8291659187847085 45.72556461716722,Lyon 7ème,,
"Rue Fleury Neuvesel, entre le 34 et Rue Aimé Césaire (Givors) ",Givors,,
au 94 Rue Jean Ligonnet (Givors),Givors,,
95/97Avenue Marcelin Berthelot (Grigny),Grigny,,
57 Rue de l'Université (Lyon 7e Arrondissement),Lyon 7ème,,
Au niveau du 27 Quai Clemenceau (Caluire-et-Cuire) à plus ou moins 10 m,Caluire et Cuire,,
face au 280 Rue Garibaldi (Lyon 3e Arrondissement),Lyon 3ème,,
101 Boulevard de l'Europe (Pierre-Bénite),Pierre Benite,,
Avenue de l'Europe : du croisement avec l'Avenue des Nations à l'arrêt de bus Osterode (Rillieux-la-Pape),Rillieux la Pape,,
120 Route de Saint Priest (Mions),Mions,,
21 Rue de l'Humanité (Bron),Bron,,
Place de la Voute (Neuville-sur-Saône),Neuville sur Saone,,
"Du 13 Avenue Victor Hugo au 108 rue Marietton du 89 Rue du Bourbonnais à la rue Marietton (Lyon 9e Arrondissement), Écully, Tassin-la-Demi-Lune",Ecully,,
2 Rue Commandant Dubois (Lyon 3e Arrondissement),Lyon 3ème,,
14 Avenue de Montlouis (Champagne-au-Mont-d'Or),Champagne au Mont d'Or,,
Quai Perrache angle Rue Dugas Montbel (Lyon 2e Arrondissement) PI 1446,Lyon 2ème,,
14 Chemin de Chatanay (Mions),Mions,,
Nord du 120 Route de Saint Priest (Mions),Mions,,
"Rue Gabriel Cordier, allée Francisque Aynard (Oullins)",Oullins,,
2 au 32 Rue Thénard (Lyon 8e Arrondissement),Lyon 8ème,,
15 au 47 Rue Victor et Roger Thomas (Lyon 8ème Arrondissement),Lyon 8ème,,
Rue du 11 Novembre 1918 (Feyzin),Feyzin,,
"Connexion Cyclable de 2.5km dont voie verte sur 200m, Boulevard des Hespérides (Tassin-la-Demi-Lune)  Rue Professeur Guérin (Lyon 9e Arrondissement) ",Tassin la Demi Lune,,
"3 terrassement d'environ 2m² chacun, Avenue Général Frère (Lyon 8e Arrondissement) ",Lyon 8ème,,
Du 11 Chemin de Chamagnieu jusqu'au 10 Chemin du Vieux Puits en passant par le Chemin des Rivières  + Allée des Pruniers et Allée des Pêchers (Lissieu),Lissieu,,
Du 8 au 10 Boulevard de la Croix-Rousse (Lyon 1er Arrondissement),Lyon 1er,,
MJC Rue Camille Roy (Lyon 7e Arrondissement),Lyon 7ème,,
face au n° 123 Rue Masséna (Lyon 3e Arrondissement),Lyon 3ème,,
"Du 62 Boulevard de Narcel, au 6 Rue de Verdun (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
"Rue Villard, entre Rue Carnot et Rue Roger Salengro (Bron)",Bron,,
"-Carrefour : Rue Paul Bert / Rue Frédéric Mistral / Avenue Félix Faure / Place des Maisons Neuves, -Carrefour : Rue Jean Jaurès / Rue Galilée, -Carrefour : Rue Jean Jaurès / Rue Victor Hugo (Villeurbanne, Lyon 3e Arrondissement)",Villeurbanne,,
Du 5 Rue Louis Normand  jusqu'à l'intersection avec la Rue Dubois Crance (Oullins),Oullins,,
du 2 au 24 Rue Lafayette (Saint-Priest),Saint Priest,,
Carrefour Avenue du Point du jour / Rue Commandant Charcot (LYON 5),Lyon 5ème,,
"Du 4 Quai Jean-Baptiste Simon (Fontaines-sur-Saône), clos du maquis. ",Fontaines Sur Saone,,
70 Rue Emile Decorps (Villeurbanne),Villeurbanne,,
50Bis Quai Joseph Gillet (Lyon 4e Arrondissement),Lyon 4ème,,
Esplanade Pina Bausch	(Lyon 8e Arrondissement),Lyon 8ème,,
Face au 11 Rue Cuvier (Décines-Charpieu),Decines Charpieu,,
au 11 Rue du Griffon (Lyon 1er Arrondissement),Lyon 1er,,
10 Chemin de la Croix (Rillieux-la-Pape),Rillieux la Pape,,
Chemin de Bellissen (Francheville),Lyon 5ème,,
"Boulevard de la Croix-Rousse, depuis la Rue de la Tourette jusqu'à la Rue des Pierres Plantées  (Lyon 1er et 4ème arrondissement)",Lyon 1er,,
Avenue Georges Dimitrov : Entre la Rue Robert Desnos et Avenue Paul Marcellin (Vaulx-en-Velin),Vaulx en Velin,,
du 1 au 27 Rue Ampère (Saint-Fons),Saint Fons,,
au 26 Rue Commandant Charcot (Lyon 5ème Arrondissement),Lyon 5ème,,
10 Rue du Château d'Eau (Saint-Genis-les-Ollières),Saint Genis Les Ollieres,,
Place des Martyrs de la Résistance (Lyon 3e Arrondissement),Lyon 3ème,,
Face au 13 jusqu'au 15 Rue Henri Gorjus (Lyon 4ème Arrondissement),Lyon 4ème,,
70 Boulevard des Droits de l'Homme (Vaulx-en-Velin),Vaulx en Velin,,
86 Rue Commandant Charcot (Sainte-Foy-lès-Lyon),Lyon 5ème,,
Place du Novembre 1918 (Vernaison),Vernaison,,
"Avenue Franklin Roosevelt, côté nord, au droit du boulevard du Valvert",Ecully,,
Rue Francis de Pressensé de la rue Flachet au giratoire rues Colin - République (Villeurbanne)  ,Villeurbanne,,
4 Rue Edouard Idoux (Givors),Givors,,
Avenue Louis Dufour (Caluire-et-Cuire),Caluire et Cuire,,
ZAC Mas du Taureau,Vaulx en Velin,,
Au droit du n°17 Rue Champvert (LYON 5),Lyon 5ème,,
15 au 17 Rue Léon Gambetta (Givors),Givors,,
Face 240 Avenue Général de Gaulle (Bron),Bron,,
"Depuis l'angle des rues Edouard Herrriot/Pizay jusqu'a l'angle compris Edouard Herriot/Serlin.  et depuis l'angle de la Place Pradel/rue Serlin, jusqu'au carrefour Serlin/quai Jean Moulin. ",Lyon 1er,,
Rue Fleury Jay (Grigny),Grigny,,
"Rue Pierre Larousse, Angle Rue Francis de Pressensé (Villeurbanne)",Villeurbanne,,
2 Avenue d'Annonay (Bron),Bron,,
9 Rue Pasteur (Grigny),Grigny,,
 117 Rue de Gerland (Lyon 7ème Arrondissement),Lyon 7ème,,
185 Avenue Paul Santy (Lyon 8e Arrondissement),Lyon 8ème,,
5 Rue du Rail (Vaulx-en-Velin),Vaulx en Velin,,
27 Rue Sala (Lyon 2ème Arrondissement),Lyon 2ème,,
"Depuis l'angle Rue Frédéric et Irène Joliot Curie, jusqu'au droit du bâtiment au 54 de la Rue Victor Basch (Villeurbanne)",Villeurbanne,,
Place de la Porte de Lyon (Dardilly),Dardilly,,
Rue Viala / Avenue Esquirol (Lyon 8e Arrondissement) PI 1012,Lyon 3ème,,
Rue du Dauphiné (Saint-Priest),Saint Priest,,
Au droit du n°22 Rue Commandant Charcot (LYON 5),Lyon 5ème,,
Du 127au 150 Rue de Gerland puis du 48 au 58  Avenue Jean-François Raclet et au 34 54 Boulevard de l'Artillerie (LYON 7EME),Lyon 7ème,,
Réalisation du nouvel ouvrage d'art de franchissement du canal de Jonage,Villeurbanne,,
6 Avenue de Champfleury (Champagne-au-Mont-d'Or),Champagne au Mont d'Or,,
"2 endroits ; 1 ère endroit : Face au 12 Rue de la Corderie (Lyon 9ème Arrondissement),  2 ème Face au 10 Rue de la Corderie (Lyon 9ème Arrondissement)",Lyon 9ème,,
Face au 28 jusqu'entre 31 et 33 Rue Chalopin (Lyon 7ème Arrondissement),Lyon 7ème,,
Du Croisement Rue du Vercors au 31 Avenue Tony Garnier (Lyon 7e Arrondissement),Lyon 7ème,,
7 Rue du Dauphiné (Lyon 3e Arrondissement) PI 1626,Lyon 3ème,,
Chemin du Grand Moulin (Francheville),Francheville,,
au 111b Route de Genas (Vaulx-en-Velin),Vaulx en Velin,,
62 Avenue Jean Jaurès (Lyon 7ème Arrondissement),Lyon 7ème,,
Création d'un voie nouvelle entre la Rue Komarov et la Rue Cachin,Venissieux,,
33 Rue Tronchet (Lyon 6ème Arrondissement),Lyon 6ème,,
du 13 au 21 Rue Auguste et Louis Lumière (Saint-Fons),Saint Fons,,
Avenue des Frères Lumière (Genay),Genay,,
"Rue Thimonnier (Genay), au rond-point entre Avenue des frères Lumière",Genay,,
Rue Ampère (Genay),Genay,,
au niveau des 37 à 38 Quai Arloing (Lyon 9e Arrondissement),Lyon 9ème,,
au niveau du Sud du 29 Quai Arloing (Lyon 9e Arrondissement),Lyon 9ème,,
"à côté 40 Avenue Jean Jaurès, croisement Rue Mathieu Dussurgey (Saint-Fons)",Saint Fons,,
17b Côte de l'Hormet (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,,
2 Avenue Franklin Roosevelt (Bron),Bron,,
Face au  45 Voie Romaine (Craponne),Craponne,,
75 Rue Clément Marot (Lyon 7ème Arrondissement),Lyon 7ème,,
"Voie Cyclables du Canal et Rue Louis Duclos prolongée de la rue du Canal  jusqu'a allée du Morlet,(Vaulx-en-Velin) Le long A42",Meyzieu,,
20 Allée de la Puisatière (La Tour-de-Salvagny),La Tour de Salvagny,,
"Chemin des Charbottes : Du n°2 au n°24 et du n°1 au 25, raccordement au carrefour avec Chemin des Près des Charbottes, raccordement au carrefour avec Rue Pierre Dupont (Saint-Cyr-au-Mont-d'Or)",Saint Cyr Au Mont d'Or,,
22 Rue de la Moselle (Lyon 8e Arrondissement),Lyon 8ème,,
10 Avenue Lucien Buisson (Meyzieu),Meyzieu,,
1 Rue Alphonse Rodet (Lyon 8e Arrondissement),Lyon 8ème,,
Devant le 11 Rue Joseph Chapelle (Lyon 8e Arrondissement),Lyon 8ème,,
16 Rue Albert Camus (Bron) ,Bron,,
"Rue du 23 Août 1944 (Mions), angle avec Rue des Brosses",Mions,,
du N° 83 au N° 94 Boulevard de la Croix Rousse (Lyon 1er et 4ème arrondissement),Lyon 1er,,
face au n°25 Rue Edouard Vaillant (Villeurbanne) ou n°4 place Marie Louise Rochebillard Villeurbanne,Villeurbanne,,
Au droit du n°29 Rue Champvert (LYON 5),Lyon 5ème,,
Du 56 au 58 Rue de l'Abbé Boisard (Lyon 3e Arrondissement),Lyon 3ème,,
223 Rue Trarieux (Lyon 3e Arrondissement),Lyon 3ème,,
Proche du 4 Route Départementale 312 (Feyzin),Feyzin,,
de l'Est du 38 au centre du 40 Route de Lyon (Saint-Cyr-au-Mont-d'Or),Saint Cyr Au Mont d'Or,,
26 Rue Louis Teillon (Villeurbanne),Villeurbanne,,
Rue Charles Baudelaire (Vénissieux) à proximité Rue des Frères Louis et Emile Bertrand (Vénissieux),Venissieux,,
6 Rue Marcel-Gabriel Rivière (Lyon 2ème Arrondissement),Lyon 2ème,,
à côté 5 jusqu'au 7 Allée de la Chapelle (Lissieu),Lissieu,,
Du 9 au 11 Rue Louis Galvani (Villeurbanne),Villeurbanne,,
3 Rue de Merlus (Oullins),Oullins,,
15 bis Avenue Albert Einstein (Villeurbanne),Villeurbanne,,
traversée de chaussée au niveau du 34b Rue Poizat (Villeurbanne),Villeurbanne,,
Entre 51 et 49 Rue Arthur Rimbaud (Saint-Priest),Saint Priest,,
"Rue Rachais, angle Rue Alphonse Daudet (Lyon 7e Arrondissement)",Lyon 7ème,,
33 Rue Charles Luizet (Saint-Genis-Laval),Saint Genis Laval,,
7 Rue Benoit Berlioz (Chassieu),Chassieu,,
Face au 15 Route de Vienne (Feyzin),Feyzin,,
21 Rue Pasteur (Vénissieux),Venissieux,,
rue de la sarrazine  rue louis pasteur ,Oullins,,
reu paupière à couzon,Couzon Au Mont d'Or,,
Carrefour  Rue de la Mairie et Chemin de l'Ecully (Collonges-au-Mont-d'Or),Collonges au Mont d'Or,,
"(Mail Narvik) Rue de Narvik, entre Rue Louis Tixier et Rue de la Moselle (Lyon 8e Arrondissement)",Lyon 8ème,,
Du 6 Place Jules Grandclément au 2 Rue Léon Blum (Villeurbanne),Villeurbanne,,
rue paul bert,Saint Fons,,
Rue Denfert-Rochereau (Givors),Givors,,
8 Rue de Tourvielle (Lyon 5e Arrondissement) PI 202,Lyon 5ème,,
3 Rue Benoist Mary / Rue de la Favorite (Lyon 5e Arrondissement) PI 4180,Lyon 5ème,,
110 Impasse du Ruffier (Craponne),Craponne,,
1 Chemin de Narcel (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,,
Face  au 25 Rue des Tuileries (Lyon 9ème Arrondissement),Lyon 9ème,,
Qaui Paul Sédallian entre Rue Antonin Laborde  et Pont de l'Ile Barbe (Lyon 9e Arrondissement),Lyon 9ème,,
"Depuis le Croisement des Rues de la Républiques/ Rue Joseph Serlin, jusqu'au croisement des Rues de la Républiques/ Rue de la Poulaillerie, et Rue Henri Germain (Lyon 1er Arrondissement, Lyon 2e Arrondissement)",Lyon 1er,,
Rue Paul Villemotn entre Chemin Maintenue et  Rue Gabriel Cordier (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
18 + 17 à 19 Rue Edouard Vaillant (Saint-Fons),Saint Fons,,
Avenue Maurice Thorez,Vaulx en Velin,,
Boulevard John-Fitzgerald Kennedy (Oullins),Oullins,,
 au 28 Route de Chasselay (Quincieux),Quincieux,,
1B Place des Minimes (Lyon 5e Arrondissement),Lyon 5ème,,
"Traversée de Route de Genas (Bron, Villeurbanne)",Bron,,
"à l'intersection du Boulevard des Provinces et de la Rue Commandant Charcot (Sainte-Foy-lès-Lyon, Lyon 5e Arrondissement	)",Lyon 5ème,,
"A l'intersection de l'Avenue du Point du Jour et de la Rue des Aqueducs, Place Bénédict Tessier (Lyon 5e Arrondissement)",Lyon 5ème,,
sur le BUE voie Bus et voie Nord > Sud entre la rue Grosso et l'avenue Garibaldi,Vaulx en Velin,,
Boulevard des Droits de l'Homme du 13 avenue Garibaldi au pont de La Soie (Vaulx-en-Velin),Vaulx en Velin,,
Pont de La Soie (Vaulx-en-Velin),Vaulx en Velin,,
Rue Émile Zola de la rue Maximilien de Robespierre à l'avenue Gabriel Péri (Vaulx-en-Velin),Vaulx en Velin,,
Avenue Maurice Thorez de l'avenue Gabriel Peri au chemin des Barques (Vaulx-en-Velin),Vaulx en Velin,,
"Ilot Parmentier (Rue Saint Lazare, Rue du Colombier et Rue Parmentier)  (Lyon 7e Arrondissement)",Lyon 7ème,,
10 Rue des Aqueducs (Lyon 5ème Arrondissement),Lyon 5ème,,
85 Rue Trarieux (Lyon 3e Arrondissement),Lyon 3ème,,
"Rue de la Martinière entre Places Saint Vincent et Place Tobie Robatel, (Lyon 1er Arrondissement)",Lyon 1er,,
Avenue du 8 Mai 1945 (Vénissieux),Venissieux,,
Au carrefour de l'avenue Jean Jaurès et de la rue Nicolas Copernic et du 9 au 25 Avenue Jean Jaurès et du 15 au 19 Avenue Franklin Roosevelt et au 13 rue Galilée (Décines-Charpieu),Decines Charpieu,,
Face au 276 jusqu'à côté 276 Route de Genas (Bron) à proximité Rue Jacques Daligand (Bron),Bron,,
Rue Hrant Dink,Lyon 2ème,,
Impasse de la Patelière (Craponne),Craponne,,
67 Avenue Rockefeller (Lyon 3e Arrondissement),Lyon 8ème,,
"Chemin des Vignes,  Chemin de la Haute Jardinière,  Chemin du Pontay, Chemin de la Cabane Pointue et Chemin des Hautes Vignes (Saint-Didier-au-Mont-d'Or)",Saint Didier au Mont d'Or,,
Place Bellecour Coordonnées GPS de l'emprise (format WGS84) : 4.832303818017255 45.75832096200992,Lyon 2ème,,
"Rue des Roses, depuis la rue Jules Guesde à l'avenue Paul Krüger",Villeurbanne,,
20 Rue Joseph Marie Jacquard (Mions),Mions,,
10 Rue Louis Aulagne (Oullins),Oullins,,
25 - 37 Avenue François Mitterrand (Bron),Bron,,
1 au 7 Impasse Docteur Louis Jugnet et Rue Docteur Louis Jugnet (Saint-Fons),Saint Fons,,
12 Rue de la Combe (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
 au 11 Rue Professeur Joseph Nicolas (Lyon 8ème Arrondissement),Lyon 8ème,,
"Allée des Parcs, au carrefour avec la ligne de Tram (Saint-Priest)",Saint Priest,,
Rue Garibaldi (Lyon 3e Arrondissement),Lyon 3ème,,
13 Quai Clemenceau (Caluire-et-Cuire),Caluire et Cuire,,
13 Rue Balthazar (Lyon 3ème Arrondissement),Lyon 3ème,,
"Entre le n°2 et n°16, Rue Docteur Albéric Pont (LYON 5)",Lyon 5ème,,
40 Montée Saint Barthélémy (Lyon 5ème Arrondissement),Lyon 5ème,,
12 Rue Professeur Jean Bernard (Lyon 7e Arrondissement),Lyon 7ème,,
Montée Saint Sébastien (Lyon 1er Arrondissement),Lyon 1er,,
Rue Stéphane Déchant (La Mulatière),La Mulatiere,,
10 Rue des Razes (Feyzin),Feyzin,,
13 Rue de la Soie (Villeurbanne),Villeurbanne,,
