numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202512339;ENEDIS;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Validé;2026-01-12;2026-02-13;;2025-12-16 15:02:03.874379+01:00;Rue Francine Fromont et Avenue Karl Marx  (Vaulx-en-Velin);Vaulx en Velin;69256;;;www.enedis.fr/aide_contact;200436
202512352;ORANGE SA;Lignes aériennes TELECOM, RMT ET VIDEO;Pose et entretien de supports de ligne aérienne (télécom ou video);Validé;2025-12-05;2026-01-12;;2025-12-16 15:02:03.376202+01:00;"2 endroits ; 1 ère endroit : Face au 32 Route de Collonges, 2 ème endroit : à côté 33 Route de Collonges (Saint-Romain-au-Mont-d'Or)";Saint Romain Au Mont d'Or;69233;;;;199431
202512367;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Validé;2025-12-15;2026-01-09;Circulation alternée, Circulation réduite, Restriction de jour;2025-12-16 15:02:03.436200+01:00;74 Route de Brignais (Saint-Genis-Laval);Saint Genis Laval;69204;;;www.enedis.fr/aide_contact;199040
202512370;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Ouvert;2025-12-15;2025-12-30;;2025-12-16 15:02:03.176607+01:00;Impasse des Brosses (Charbonnières-les-Bains);Charbonnieres les Bains;69044;;;www.enedis.fr/aide_contact;200643
202512457;DCE / RT / Rive Gauche;Branchements d'assainissement < à 25 ml;Construction branchement d'assainissement < 25 ml;Validé;2025-12-01;2026-01-09;;2025-12-16 15:02:03.995806+01:00;23 Boulevard des Droits de l'Homme (Vaulx-en-Velin);Vaulx en Velin;69256;04 28 67 55 00;;;198987
202512463;ENEDIS;Branchements réseau électrique < 25 ml;Suppression de branchement électrique < 25 ml;Ouvert;2025-12-15;2025-12-31;;2025-12-16 15:02:03.835512+01:00;7 Rue Charlie Chaplin (Villeurbanne);Villeurbanne;69266;;;www.enedis.fr/aide_contact;199043
202512470;ENEDIS;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Validé;2026-01-05;2026-01-23;;2025-12-16 15:02:03.188808+01:00;Rue Jacques Monod (Vaulx-en-Velin);Vaulx en Velin;69256;;;www.enedis.fr/aide_contact;200034
202512482;DIEM / Ouvrage d'Art;Ouvrage d'art;Entretien / réfection mur de soutènement;Validé;2026-01-12;2026-02-02;Circulation réduite, Restriction de jour, Trottoir interdit;2025-12-16 15:02:03.686842+01:00;Du 8 au 10C Avenue Anatole France (Givors);Givors;69091;;;https://www.grandlyon.com/pratique/nous-contacter;200438
202512489;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Intervention sur des chambres, boites, armoires impactant le domaine public (télécom ou video);Validé;2025-12-10;2026-01-16;;2025-12-16 15:02:03.985243+01:00;Rond-Point des Monts d'Or (Champagne-au-Mont-d'Or) à proximité Chemin du Tronchon (Champagne-au-Mont-d'Or);Champagne au Mont d'Or;69040;;;;199725
202512521;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-05;2026-01-12;;2025-12-16 15:02:03.794150+01:00;Chemin de la Chapelle (Rillieux-la-Pape);Rillieux la Pape;69286;;;www.enedis.fr/aide_contact;200035
