Date;Adresse;Flux;Direction;Genre;Véhicule;Heure début;Heure fin;Nombre comptés
10/06/2025;Maison de la voie verte;Est / Ouest;De Chemin de Crépieux;Féminin;Cargo/Longtail/Remorque;08:15:00;08:30:00;1
10/06/2025;Maison de la voie verte;Est / Ouest;De Chemin de Crépieux;Féminin;Trotinette/EDPM;08:15:00;08:30:00;0
10/06/2025;Maison de la voie verte;Est / Ouest;De Chemin de Crépieux;Enfant seul;Vélo;08:15:00;08:30:00;1
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Masculin;Vélo;08:30:00;08:45:00;14
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Masculin;Cargo/Longtail/Remorque;08:30:00;08:45:00;1
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Masculin;Trotinette/EDPM;08:30:00;08:45:00;9
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Féminin;Vélo;08:30:00;08:45:00;20
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Féminin;Cargo/Longtail/Remorque;08:30:00;08:45:00;1
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Féminin;Trotinette/EDPM;08:30:00;08:45:00;1
10/06/2025;Maison de la voie verte;Nord / Sud;De Sathonay;Enfant seul;Vélo;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Masculin;Vélo;08:30:00;08:45:00;9
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Masculin;Cargo/Longtail/Remorque;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Masculin;Trotinette/EDPM;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Féminin;Vélo;08:30:00;08:45:00;5
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Féminin;Cargo/Longtail/Remorque;08:30:00;08:45:00;1
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Féminin;Trotinette/EDPM;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Nord / Sud;De Caluire;Enfant seul;Vélo;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Masculin;Vélo;08:30:00;08:45:00;6
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Masculin;Cargo/Longtail/Remorque;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Masculin;Trotinette/EDPM;08:30:00;08:45:00;0
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Féminin;Vélo;08:30:00;08:45:00;5
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Féminin;Cargo/Longtail/Remorque;08:30:00;08:45:00;1
10/06/2025;Maison de la voie verte;Est / Ouest;De Jean Moulin;Féminin;Trotinette/EDPM;08:30:00;08:45:00;0
