Date;Adresse;Flux;Direction;Genre;Véhicule;Heure début;Heure fin;Nombre comptés
03/12/2024;Avenue des Cottages;Cottages;Descente;Indéfini/Mixte;Vélo;07:30;09:00;135
03/12/2024;Avenue des Cottages;Cottages;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;7
03/12/2024;Avenue des Cottages;Cottages;Montée;Indéfini/Mixte;Vélo;07:30;09:00;25
03/12/2024;Avenue des Cottages;Cottages;Montée;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;5
03/12/2024;Avenue des Cottages;Montée des Soldats;Descente;Indéfini/Mixte;Vélo;07:30;09:00;43
03/12/2024;Avenue des Cottages;Montée des Soldats;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;2
03/12/2024;Avenue des Cottages;Montée des Soldats;Montée;Indéfini/Mixte;Vélo;07:30;09:00;17
03/12/2024;Avenue des Cottages;Montée des Soldats;Montée;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;1
03/12/2024;Avenue des Cottages;Chemin de Boutary;Descente;Indéfini/Mixte;Vélo;07:30;09:00;27
03/12/2024;Avenue des Cottages;Chemin de Boutary;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;4
06/12/2022;Avenue des Cottages;Cottages;Tous;Indéfini/Mixte;Vélo;07:30;09:00;88
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;07:30;07:45;6
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;07:30;07:45;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;07:30;07:45;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Trotinette/EDPM;07:45;08:00;2
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;07:45;08:00;2
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;07:45;08:00;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;07:45;08:00;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Féminin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:00;08:15;3
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:00;08:15;4
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:15;08:30;4
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:15;08:30;2
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Trotinette/EDPM;08:15;08:30;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;08:15;08:30;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Cargo/Longtail/Remorque;08:30;08:45;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:30;08:45;3
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:30;08:45;10
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Trotinette/EDPM;08:30;08:45;2
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Vélo;08:45;09:00;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:45;09:00;1
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Cargo/Longtail/Remorque;08:45;09:00;3
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:45;09:00;8
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:30;07:45;3
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;07:30;07:45;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;07:30;07:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;07:30;07:45;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:30;07:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Trotinette/EDPM;07:30;07:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:30;07:45;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Trotinette/EDPM;07:30;07:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;07:30;07:45;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;07:30;07:45;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:45;08:00;3
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;07:45;08:00;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Cargo/Longtail/Remorque;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:45;08:00;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;07:45;08:00;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;07:45;08:00;3
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;07:45;08:00;4
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Trotinette/EDPM;07:45;08:00;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:00;08:15;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Trotinette/EDPM;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:00;08:15;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Trotinette/EDPM;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Féminin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:00;08:15;5
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:00;08:15;4
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;08:00;08:15;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:15;08:30;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:15;08:30;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;08:15;08:30;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Cargo/Longtail/Remorque;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:15;08:30;5
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:15;08:30;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Cargo/Longtail/Remorque;08:15;08:30;4
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;08:15;08:30;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:15;08:30;7
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Enfant seul;Vélo;08:15;08:30;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;08:30;08:45;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:30;08:45;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:30;08:45;6
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Cargo/Longtail/Remorque;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:30;08:45;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Cargo/Longtail/Remorque;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:30;08:45;4
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:30;08:45;3
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:30;08:45;4
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Cargo/Longtail/Remorque;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:45;09:00;3
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:45;09:00;2
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:45;09:00;2
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Trotinette/EDPM;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Enfant seul;Trotinette/EDPM;08:30;08:45;1
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:45;09:00;4
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:45;09:00;3
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Cargo/Longtail/Remorque;08:45;09:00;1
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;07:30;07:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:15;08:30;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:45;09:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:15;08:30;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:45;09:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;07:30;07:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;07:30;07:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:45;09:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:15;08:30;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;07:30;07:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:15;08:30;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:45;09:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;07:30;07:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;07:45;08:00;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:00;08:15;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:30;08:45;0
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:45;09:00;0
