channel_id;counter_id;start_datetime;end_datetime;count
100029813;;2023-04-03 06:00:00+02:00;2023-04-03 07:00:00+02:00;1
100029813;;2023-04-03 05:00:00+02:00;2023-04-03 06:00:00+02:00;0
100029813;;2023-04-03 04:00:00+02:00;2023-04-03 05:00:00+02:00;0
100029813;;2023-04-03 03:00:00+02:00;2023-04-03 04:00:00+02:00;0
100029813;;2023-04-03 02:00:00+02:00;2023-04-03 03:00:00+02:00;0
100029813;;2023-04-03 01:00:00+02:00;2023-04-03 02:00:00+02:00;0
100029813;;2023-04-03 00:00:00+02:00;2023-04-03 01:00:00+02:00;0
100029813;;2023-04-02 23:00:00+02:00;2023-04-03 00:00:00+02:00;0
100029813;;2023-04-02 22:00:00+02:00;2023-04-02 23:00:00+02:00;0
100029813;;2023-04-02 21:00:00+02:00;2023-04-02 22:00:00+02:00;0
100029813;;2023-04-02 20:00:00+02:00;2023-04-02 21:00:00+02:00;1
100029813;;2023-04-02 19:00:00+02:00;2023-04-02 20:00:00+02:00;14
100029813;;2023-04-02 18:00:00+02:00;2023-04-02 19:00:00+02:00;44
100029813;;2023-04-02 17:00:00+02:00;2023-04-02 18:00:00+02:00;62
100029813;;2023-04-02 16:00:00+02:00;2023-04-02 17:00:00+02:00;35
100029813;;2023-04-02 15:00:00+02:00;2023-04-02 16:00:00+02:00;61
100029813;;2023-04-02 14:00:00+02:00;2023-04-02 15:00:00+02:00;21
100029813;;2023-04-02 13:00:00+02:00;2023-04-02 14:00:00+02:00;22
100029813;;2023-04-02 12:00:00+02:00;2023-04-02 13:00:00+02:00;31
100029813;;2023-04-02 11:00:00+02:00;2023-04-02 12:00:00+02:00;51
100029813;;2023-04-02 10:00:00+02:00;2023-04-02 11:00:00+02:00;113
100029813;;2023-04-02 09:00:00+02:00;2023-04-02 10:00:00+02:00;58
100029813;;2023-04-02 08:00:00+02:00;2023-04-02 09:00:00+02:00;21
100029813;;2023-04-02 07:00:00+02:00;2023-04-02 08:00:00+02:00;0
100029813;;2023-04-02 06:00:00+02:00;2023-04-02 07:00:00+02:00;1
100029813;;2023-04-02 05:00:00+02:00;2023-04-02 06:00:00+02:00;0
100029813;;2023-04-02 04:00:00+02:00;2023-04-02 05:00:00+02:00;0
100029813;;2023-04-02 03:00:00+02:00;2023-04-02 04:00:00+02:00;0
100029813;;2023-04-02 02:00:00+02:00;2023-04-02 03:00:00+02:00;0
100029813;;2023-04-02 01:00:00+02:00;2023-04-02 02:00:00+02:00;0
100029813;;2023-04-02 00:00:00+02:00;2023-04-02 01:00:00+02:00;0
100029813;;2023-04-01 23:00:00+02:00;2023-04-02 00:00:00+02:00;0
100029813;;2023-04-01 22:00:00+02:00;2023-04-01 23:00:00+02:00;0
100029813;;2023-04-01 21:00:00+02:00;2023-04-01 22:00:00+02:00;1
100029813;;2023-04-01 20:00:00+02:00;2023-04-01 21:00:00+02:00;7
100029813;;2023-04-01 19:00:00+02:00;2023-04-01 20:00:00+02:00;8
100029813;;2023-04-01 18:00:00+02:00;2023-04-01 19:00:00+02:00;23
100029813;;2023-04-01 17:00:00+02:00;2023-04-01 18:00:00+02:00;25
100029813;;2023-04-01 16:00:00+02:00;2023-04-01 17:00:00+02:00;9
100029813;;2023-04-01 15:00:00+02:00;2023-04-01 16:00:00+02:00;56
100029813;;2023-04-01 14:00:00+02:00;2023-04-01 15:00:00+02:00;44
100029813;;2023-04-01 13:00:00+02:00;2023-04-01 14:00:00+02:00;42
100029813;;2023-04-01 12:00:00+02:00;2023-04-01 13:00:00+02:00;50
100029813;;2023-04-01 11:00:00+02:00;2023-04-01 12:00:00+02:00;69
100029813;;2023-04-01 10:00:00+02:00;2023-04-01 11:00:00+02:00;72
100029813;;2023-04-01 09:00:00+02:00;2023-04-01 10:00:00+02:00;39
100029813;;2023-04-01 08:00:00+02:00;2023-04-01 09:00:00+02:00;24
100029813;;2023-04-01 07:00:00+02:00;2023-04-01 08:00:00+02:00;7
100029813;;2023-04-01 06:00:00+02:00;2023-04-01 07:00:00+02:00;0
100029813;;2023-04-01 05:00:00+02:00;2023-04-01 06:00:00+02:00;0
100029813;;2023-04-01 04:00:00+02:00;2023-04-01 05:00:00+02:00;0
100029813;;2023-04-01 03:00:00+02:00;2023-04-01 04:00:00+02:00;0
100029813;;2023-04-01 02:00:00+02:00;2023-04-01 03:00:00+02:00;0
