uid,insee,cat,nb_points,taux_points,longitude,latitude
1928af76-3a27-4bb5-82bb-008f4b9b3e86,69199,58,24,64.86,4.854812379784177,45.71698469154863
1eca17ef-9918-4bf9-8538-6483192bcd51,69266,58,179,8.69,4.905975384070715,45.76927653684094
0b7b0a92-d58f-4977-a3eb-8a3fee9c15ba,69266,58,286,13.88,4.882566658776162,45.76893542756358
7344fd97-e04c-4f58-94e1-3f9be8129a90,69388,58,78,17.45,4.860311894361693,45.74948653531192
04b1ae46-0b6b-4e2f-b5a5-b97055ce0b37,69081,58,228,131.79,4.79320562579756,45.77393085668348
62d5ef81-3053-475f-a2bf-cc604d4b2ba6,69266,58,158,7.67,4.885036355926068,45.75426949700127
028a728c-081c-41e6-88bf-53cf32290f95,69256,58,32,43.84,4.912031634542065,45.77244115081838
ef56f696-d871-4cfd-bc86-ab4f7e5860af,69029,58,37,11.67,4.924140765062807,45.724757905107445
9fe5cc6d-fb27-4d9b-ac7b-3f33ad30e6f3,69029,58,55,17.35,4.912011822515125,45.732356965295885
b824e019-39ec-4ee4-a3ba-26b112d6828a,69029,58,116,36.59,4.904678687514956,45.73496278746762
a52c695e-e63e-42f3-8771-a90c9295c699,69266,58,150,7.28,4.888754512277295,45.759068140039204
406f723c-4622-4041-ba8f-38fd8aa9d008,69282,58,21,18.92,5.019002314336273,45.75270345403306
98599fb6-c1aa-4cad-8184-12929b82e23a,69266,58,35,1.7,4.866445236071932,45.77096509641067
2ca729e4-9348-4138-8b3f-1c4e32a7f4f3,69266,58,28,1.36,4.88497781284015,45.771158636965325
3c619182-4c79-4141-ad2f-987ede0edb8b,69081,58,18,10.4,4.783043426962494,45.786584963741895
258b7dca-e73b-4ba5-823a-50a11ce0139d,69266,58,154,7.47,4.873970656132875,45.763819920297024
f85e1538-7796-4fc2-976a-ff2dcb32cfc6,69149,58,405,86.17,4.80660959393071,45.71468175387932
2faeaf91-a5ec-4cc0-8a94-8ed36206dc61,69266,58,42,2.04,4.880489618290529,45.77895886135018
99487918-4c97-4f9b-a3c3-87f894f55fad,69266,58,35,1.7,4.890695897886554,45.78273101815998
c93fed07-85bd-4931-b08b-43d4afc84052,69260,58,20,117.65,4.816562219375444,45.645767480767724
7115943c-0110-4d2d-a0db-d31133db09da,69244,58,33,31.13,4.781377401363576,45.7637502749846
9680dd4f-b538-4d8b-857d-d007ccffb056,69266,58,231,11.21,4.861805504062744,45.77029240378308
4237ab3f-cd77-44c7-b3c9-1576682d7580,69271,58,23,48.94,4.969323716025689,45.73838389098989
2d9d137f-69c4-43d3-823c-16597c07e954,69034,58,23,4.74,4.837075855323864,45.78515227602412
345abda6-bc86-4d8d-ac07-0a54970fa2f0,69034,58,116,23.92,4.832768273065796,45.78492338300697
d82f0596-3735-4318-b880-41b0ff966cde,69282,58,53,47.75,5.003003229855176,45.76675623839701
b9c3d976-983c-46bb-957e-086700efb08b,69266,58,32,1.55,4.900747987813201,45.765686023454265
2b7f9e36-9e99-4c89-860f-8aeb6d1e6627,69034,58,123,25.36,4.860529022516683,45.787372696284905
5f67e0ad-0368-47cb-8c8d-23f9651172a5,69266,58,38,1.84,4.873874905240805,45.77228484349215
12d3f09f-3625-43a6-a0c6-96aa85e0edbf,69081,58,19,10.98,4.769238299887341,45.76624819368825
2c57ef0b-494b-4032-9a81-737c20f3c9d9,69290,58,38,60.32,4.933779698386206,45.72099965450724
fb967253-4a96-4f73-b5d5-e5ecedf31b1c,69266,58,36,1.75,4.891292006888234,45.75584425328016
3259de40-2aff-456e-adc8-f4a0f0240c30,69382,58,22,2.55,4.833908528009997,45.75315131994905
68dc421f-6baa-4a83-96d5-94be4d50bbc2,69266,58,14,0.68,4.89772048353957,45.766042182286704
25ae31a7-b923-4376-9708-4d60b5d9879d,69266,58,31,1.5,4.893451080962587,45.7832699112543
f1a819b0-a001-4c9d-b8f3-ebf31f909ec9,69143,58,95,133.8,4.837005953908394,45.87681331884766
8cc5c0c6-2780-41a9-adcc-183ce61d2d35,69040,58,16,44.44,4.785475019581187,45.80153016618789
890181b5-5cd7-4ca2-b9ff-fd07718e7109,69259,58,26,70.27,4.8756097783704355,45.71901749734127
bf113dfe-567e-492f-bb6b-4a2f8ed5f4cf,69034,58,74,15.26,4.851680747721915,45.797925729839825
e87e4077-ace1-4bad-95e4-1257ab0f50fb,69266,58,54,2.62,4.880976885963827,45.762039106075626
194b191f-446d-48e1-a561-e66b559f9683,69386,58,22,3.02,4.859469099324532,45.76615773882167
7decc58a-d7ea-4e68-b488-7e83b3a88321,69034,58,56,11.55,4.84113492731057,45.77935569211561
a4885bf8-f960-431d-ad89-47ba04a6027a,69029,58,58,18.3,4.908274009113999,45.733649470276205
755d4eef-022c-42d6-8100-ffde7c8147b0,69068,58,19,135.71,4.833799786297232,45.845010241427524
a502df28-a996-4bbe-9ebc-6576e9cd8cc2,69149,58,51,10.85,4.80763279037231,45.718490692982094
1a333295-2cf8-4e53-9e74-a56554087e1c,69034,58,41,8.45,4.860856056054962,45.79091082134347
7666a2de-7549-42fa-bc65-fc00b86ba5b8,69282,58,35,31.53,4.984895391611485,45.770381561212275
2c4bb3c1-96e1-44d8-9b51-0195b74a1974,69244,58,23,21.7,4.774822247389898,45.758211085305206
3db2840d-3b54-4168-88da-74b8dc649878,69382,58,49,5.68,4.838261168883495,45.76343531645226
df66c3f4-9858-45d4-91b7-fbaba0a993d7,69034,58,62,12.78,4.858803994140575,45.79509226491236
d19ca1be-3f41-4ed4-91b7-779c57e44640,69266,58,20,0.97,4.8743341149219255,45.77656763237059
a13484ce-e2d0-4f13-a5c7-ab8969eab0a5,69266,58,53,2.57,4.859867345806477,45.77955459542717
839b3438-719a-4c0b-8e7a-4b6983c70a75,69266,58,19,0.92,4.899650188914669,45.756867206493446
5862d2e1-3b06-4bb6-adf0-0e9b60d06ebd,69266,58,27,1.31,4.880371199393741,45.76498288311718
f83e5cea-3b9f-44f3-a6a4-47a07930e9ec,69266,58,32,1.55,4.8851072270890805,45.75836706843857
60aea50d-68af-4ae9-a892-4a20fdc1cd91,69266,58,27,1.31,4.907309367106432,45.764624896184934
aec64862-aee6-401d-bf2e-a8a86d1102ff,69387,58,29,2.41,4.853350360690992,45.74942502017695
515dde2a-08f7-4ec3-b16f-77bfe2f73190,69266,58,33,1.6,4.902566959759184,45.75723809103003
86d698f6-13c4-4b3f-833e-52f46e1be76a,69088,58,19,105.56,4.848447718077022,45.8319122006053
c8aff4ef-05a7-43e3-9899-9af1eae51131,69244,58,22,20.75,4.771493422537949,45.76382730745185
27dc1de9-4d2c-4f2e-84d3-0a35fc48094f,69382,58,96,11.12,4.835113153493205,45.763323870607714
758cda39-0281-4b14-8b0f-0d08a0e4f116,69266,58,47,2.28,4.87346609553264,45.77081512059408
be00b173-d042-421b-87cc-a3ce8ca50057,69266,58,19,0.92,4.866773796435602,45.773264945385435
3b3f8383-c374-4c17-92f7-7e548bb7c8fe,69003,58,24,50,4.831702443488452,45.8751685426352
57d178c7-e6b9-4194-a588-41d674fc38e9,69266,58,19,0.92,4.878169493159385,45.77777065264727
4995b6a1-4ed8-4974-bff1-244f5479fcd4,69029,58,27,8.52,4.916510372364553,45.72882644721413
b5894462-036d-43aa-83df-46e2b22e361b,69290,58,25,39.68,4.952382663832778,45.7092311240345
2bfed2ee-402c-4f23-bbb6-b5ba96a041c5,69266,58,24,1.16,4.907935061722948,45.75805947414915
7ffff5b8-049f-4c69-8bc9-a2e8599da93e,69266,58,17,0.82,4.900705698080074,45.76023249858812
b4c83469-3e7b-4e21-a877-7c66bb144639,69040,58,20,55.56,4.786906847223092,45.800305509080715
cb7cd334-878c-4831-8679-4bd42c71347f,69034,58,27,5.57,4.836637353300477,45.78279118264919
0d403338-2105-40d0-a1ff-feb55cad2703,69199,58,19,51.35,4.855240351069583,45.70846716878858
f1e75dc0-5e12-4356-b349-78d13620278b,69256,58,24,32.88,4.920827147616443,45.76056029170989
85f0e8c4-6491-4ade-bf94-d2dc52ba2380,69029,58,15,4.73,4.915251281798819,45.726503466545104
7c4dc82e-1e6e-4bdf-b86c-f9c6cb2f0dcc,69271,58,24,51.06,4.966000012030727,45.73438261493928
540ca525-5a6e-4ef5-8308-f5f82f1ab139,69149,58,14,2.98,4.796544784102826,45.721061274829914
c174f4dd-3a65-4135-b2b9-533473cc6132,69266,58,14,0.68,4.914694777530498,45.7491065197323
67ebffed-13c9-4c22-a5a7-2d8f2a9ccb56,69386,58,14,1.92,4.853483092323635,45.77252650030914
e555d604-a2a4-4039-861d-30609bc7f76f,69266,58,17,0.82,4.869900968752743,45.77143909771691
b4968266-402e-495b-a442-1f76a623ac5b,69256,58,17,23.29,4.9333525431925525,45.7636979073187
cd84259d-d7b0-4e79-b2e0-c0d566d22f11,69388,58,56,12.53,4.869307902716835,45.73647342975611
